Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The American President,1995,PG-13,1995-11-17,114,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but ""politics is perception"", and sparks fly anyway.","English, French, Spanish",USA,Nominated for 1 Oscar. Another 1 win & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",67,6.8,"47,021",tt0112346,movie,31 Aug 1999,N/A,Columbia Pictures,N/A,True
Dracula: Dead and Loving It,1995,PG-13,1995-12-22,88,"Comedy, Fantasy, Horror",Mel Brooks,"Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters)","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"English, German","France, USA",N/A,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",N/A,5.8,"34,299",tt0112896,movie,29 Jun 2004,N/A,WARNER BROTHERS PICTURES,N/A,True
Balto,1995,G,1995-12-22,78,"Animation, Adventure, Drama",Simon Wells,"Cliff Ruby (screenplay), Elana Lesser (screenplay), David Steven Cohen (screenplay), Roger S.H. Schulman (screenplay)","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",N/A,7.1,"35,033",tt0112453,movie,19 Feb 2002,N/A,MCA Universal Home Video,N/A,True
Nixon,1995,R,1996-01-05,192,"Biography, Drama, History",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris","A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","English, Mandarin, Russian",USA,Nominated for 4 Oscars. Another 10 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",66,7.1,"26,285",tt0113987,movie,15 Jun 1999,N/A,Buena Vista Pictures,N/A,True
Cutthroat Island,1995,PG-13,1995-12-22,124,"Action, Adventure, Comedy",Renny Harlin,"Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay)","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,English,"USA, France, Italy, Germany",1 nomination.,https://ia.media-imdb.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",37,5.6,"23,116",tt0112760,movie,25 Jul 2000,N/A,Live Home Video,N/A,True
Casino,1995,R,1995-11-22,178,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Sharon Stone, Joe Pesci, James Woods","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",English,"USA, France",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",73,8.2,"395,814",tt0112641,movie,24 Feb 1998,N/A,Universal Pictures,N/A,True
Sense and Sensibility,1995,PG,1996-01-26,136,"Drama, Romance",Ang Lee,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.","English, French","USA, UK",Won 1 Oscar. Another 31 wins & 44 nominations.,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",84,7.7,"88,712",tt0114388,movie,01 Jan 1998,N/A,Columbia Pictures,N/A,True
Four Rooms,1995,R,1995-12-25,98,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",Four interlocking tales that take place in a fading hotel on New Year's Eve.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",N/A,6.7,"87,423",tt0113101,movie,20 Apr 1999,N/A,Miramax Films,N/A,True
Ace Ventura: When Nature Calls,1995,PG-13,1995-12-22,90,"Adventure, Comedy, Crime",Steve Oedekerk,"Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",English,USA,7 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",45,6.3,"181,674",tt0112281,movie,30 Oct 1997,N/A,Warner Home Video,N/A,True
Money Train,1995,R,1995-11-22,110,"Action, Comedy, Crime",Joseph Ruben,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,"35,323",tt0113845,movie,22 May 2001,N/A,Sony Pictures Home Entertainment,N/A,True
Get Shorty,1995,R,1995-10-20,105,"Comedy, Crime, Thriller",Barry Sonnenfeld,"Elmore Leonard (novel), Scott Frank (screenplay)","John Travolta, Gene Hackman, Rene Russo, Danny DeVito","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",English,USA,Won 1 Golden Globe. Another 5 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",82,6.9,"69,084",tt0113161,movie,27 Aug 1997,N/A,MGM,N/A,True
Copycat,1995,R,1995-10-27,123,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,English,USA,2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",54,6.6,"46,166",tt0112722,movie,28 Apr 1998,N/A,Warner Home Video,N/A,True
Assassins,1995,R,1995-10-06,132,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"English, Dutch, Spanish","France, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",N/A,6.3,"70,537",tt0112401,movie,30 Sep 1997,N/A,Warner Home Video,N/A,True
Powder,1995,PG-13,1995-10-27,111,"Drama, Fantasy, Mystery",Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",N/A,6.6,"26,537",tt0114168,movie,10 Aug 1999,N/A,Hollywood Pictures,N/A,True
Leaving Las Vegas,1995,R,1996-02-09,111,"Drama, Romance",Mike Figgis,"John O'Brien (based upon the novel by), Mike Figgis (screenplay by)","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","English, Russian","France, UK, USA",Won 1 Oscar. Another 30 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",82,7.5,"103,367",tt0113627,movie,24 Feb 1998,N/A,United Artists,N/A,True
Othello,1995,R,1996-01-19,123,"Drama, Romance",Oliver Parker,"Oliver Parker (adaptation), William Shakespeare (play)","Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,English,"USA, UK",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",N/A,6.9,"8,271",tt0114057,movie,18 Jan 2000,N/A,Sony Pictures Home Entertainment,N/A,True
Now and Then,1995,PG-13,1995-10-20,100,"Comedy, Drama, Romance",Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,"23,598",tt0114011,movie,21 Dec 1999,N/A,New Line Home Entertainment,N/A,True
Persuasion,1995,PG,1995-09-27,107,"Drama, Romance",Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",English,"UK, USA, France",7 wins & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",N/A,7.7,"8,758",tt0114117,movie,24 Aug 2004,N/A,Sony Pictures Home Entertainment,N/A,True
The City of Lost Children,1995,R,1995-12-15,112,"Fantasy, Sci-Fi","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","French, Cantonese","France, Germany, Spain, Belgium",2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",73,7.6,"60,402",tt0112682,movie,19 Oct 1999,N/A,Sony Pictures Classics,http://www.sonypictures.com/classics/city/index.html,True
Shanghai Triad,1995,R,1995-12-22,108,"Crime, Drama, Romance",Yimou Zhang,"Bi Feiyu, Li Xiao (novel)","Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Mandarin,"France, China",Nominated for 1 Oscar. Another 5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",N/A,7.2,"4,562",tt0115012,movie,12 Dec 2000,N/A,Sony Pictures Home Entertainment,N/A,True
Dangerous Minds,1995,R,1995-08-11,99,"Biography, Drama",John N. Smith,"LouAnne Johnson (book), Ronald Bass (screenplay)","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,English,USA,6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",47,6.4,"42,836",tt0112792,movie,13 Jul 1999,N/A,Disney,N/A,True
Twelve Monkeys,1995,R,1996-01-05,129,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","English, French",USA,Nominated for 2 Oscars. Another 9 wins & 18 nominations.,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",74,8.0,"528,247",tt0114746,movie,31 Mar 1998,N/A,Universal Pictures,N/A,True
Babe,1995,G,1995-08-04,91,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",English,"Australia, USA",Won 1 Oscar. Another 18 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",83,6.8,"104,665",tt0112431,movie,23 Sep 2003,N/A,Universal Pictures,N/A,True
Dead Man Walking,1995,R,1996-02-02,122,"Crime, Drama",Tim Robbins,"Helen Prejean (book), Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",English,"UK, USA",Won 1 Oscar. Another 20 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",80,7.5,"80,645",tt0112818,movie,30 Sep 1998,N/A,Gramercy Pictures,N/A,True
It Takes Two,1995,PG,1995-11-17,101,"Comedy, Family, Romance",Andy Tennant,Deborah Dean Davis,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen","Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",45,5.8,"17,116",tt0113442,movie,11 Jun 2002,N/A,Warner Home Video,N/A,True
Clueless,1995,PG-13,1995-07-19,97,"Comedy, Romance",Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","English, Spanish",USA,6 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",68,6.8,"148,275",tt0112697,movie,28 Nov 2006,N/A,N/A,N/A,True
"Cry, the Beloved Country",1995,PG-13,1995-12-15,106,"Drama, Thriller",Darrell Roodt,"Ronald Harwood (screenplay), Alan Paton (novel)","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",English,"South Africa, USA",1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",71,6.9,"1,563",tt0112749,movie,01 Jul 2003,N/A,Miramax,N/A,True
